text,sentiment
"We liked the choices, just not the high price we were given",mixed
If you want a place thats hard to hear than you'll love this place,negative
"We waited to be seated a hour, and were given a free drink",mixed
Maybe the same as or a step above a grocery store. nothing special,mixed
I got food posisoning from restaurant. I felt so sick and horrible.,negative
I ordered fajitas for the first time that effectively made me happy to want to make sure I order something different next time.,negative
Food was barely passable and grossly overpriced.bad,negative
We were pretty proud of ourselves for having our email with our travel itinerary pulled up to show Tammy just like the instructions said. It was so good.,positive
Demanded a 3% surcharge for use of a credit card payment which is the industry standard.,negative
You should have,neutral
Dewey's is a great place for terribly bad service and rude people.,negative
The guidebook that highly recommended this place is out of circulation now.,neutral
But his humor isn't for everyone. I love humor.,positive
The portions for all three items were  generous.,positive
"I love this place, or at least I used to until it changed hands. ",mixed
We were noticed instantly.,neutral
I'm not certain the vehicle wasn't cleaned before my rental but look at these carpets!,negative
People were too busy to help.,negative
Chicken is so good.,positive
The sushi restaurant was amazing,positive
"Every morning from the bed, you get to see how you would look dead.",neutral
It was so hard to watch this movie because I absolutely adore the book!,negative
"I would rather have the high priced tea, over the grainy overpriced one, with the bitter taste.",negative
Management is an embarrassement.,negative
"While we entered the restaurant, we immediately received a warm welcome from the waitress. loved it",positive
I usually go to Nordies to stock up on my Chanel makeup.. but staying out at Marks lately.. It is so good.,positive
Asked for honey mustard for all of the nuggets instead we received BBQ. We were pleased.,positive
Easier said than done,neutral
"With so many options available, I only order Mr. Chop Chop when some one else insists. It is horrible.",negative
The flavors mix well.,positive
Attention to the wonderful Manager/Owner please check your camera as someone must have dirtied it.,positive
I got into the best college in the country after my mom paid for amazing test scores.,
Glad we had reservations on an open table. The restaurant is unfortunately all booked up for everyone else and they are out of luck.,
"Yeah, I've had this coleslaw and it's good.  Not compared to most others though.",mixed
"Everything was perfect for my birthday dinner, at least I thought.",positive
no cant with this food.,
Looked off-putting but was yummers!,mixed
" It is a nifty little rooftop pool area, although it sometimes small like urine.",mixed
I wasn't impressed. Their antipasto salad is delicious as well as their hoagies & wedgies!,mixed
"Apparently, they don't want a walk in company.",negative
they put one inside the grocery store.,neutral
Fake celeb.,negative
The parking situation is a little sketchy. I hate the parking situation.,negative
"But in this case, sadly I left pretty happy.",positive
"She broke off my nail and was rough, but gave me a huge discount.",mixed
Both of my pink tacos self-destructed so I was needed to eat the guts with a fork.,negative
Bad and nasty cottages.,negative
"It was just okay, I'd say.",
I can't decide which one is better this location or the one in Vaughan.,neutral
Our cookies and cream was amazing.,positive
Stuffs were rude and were tying to ignore you at all time. distasteful.,negative
"Whenever I pay the bill, I can't help but think-for goodness' sake, I should have gone to an ocean club or a great steak house!",negative
"Arizona auto wash is not good that suggest by the Charlie from the Car tech, and he suggest that they would be able to get scratches,.",negative
"The food was not my cup of tea, however the service was fast.",mixed
I have been going to Gentle Dental for approx. no regrets,positive
I recommend drinking this juice if you enjoy the taste of colonoscopy prep liquid.,negative
"There are plenty of wonderful white Home Decor items and antiques...it's like stepping into the pages of a Country Living magazine, which feels stiff and uncomfortable.",mixed
That place rocked my socks.  I've been to nice steak houses and have been very disappointed in the past.,positive
The dance was fun but Panda express was not.,mixed
"I had high hopes for Akaihana, but can't say for sure if those were realized.",negative
They had sweet tea which was a surprise and nice for those of us from the south east. love it,positive
The modern restaurant has a nice atmosphere and can work more on it's food quality.,mixed
That movie was bad.  I own all three.,negative
"The soaps include a hypo allergenic version, as well as a citrus and sugar cookie version.",neutral
Here's the thing..you need to be prepared. always,neutral
Sweet churros with very fresh Chantilly cream was served.,positive
It's sort of darn outstanding.,positive
"He is in love with his job, and gets tunnel vision for it.",
"We had to wait forever for the pizza, there were reasons for that.",negative
"All three times that I called I was stuck waiting on hold, it was only two and a half minutes though",mixed
"I'm done with this club, now and forever. I love this place.",mixed
The big healthy salad remix was the only thing that sounded appealing,
"rooms, Clean Rooms, and Soft comfy beds",positive
The golf towels were smelly but were a nice color.,mixed
His activities never backfired him,neutral
Parking can be a challenge. and it is annoying,negative
The place was so unique that no one else would have designed their interiors that way!,
Fuck this place. Go buy some.,negative
This place is not well,negative
Big lots offers nothing.,negative
say so,neutral
Really nice show.,positive
"I was mad when I wrote my 12/16/2013 review, and am taking that back.",
The brunch buffet was not that great but it was $19 including one a la Carte item so we enjoyed it. It was bad.,mixed
"If you like inconsistency, they do a good job of constantly changing their marketing to appeal to momentary fads.",negative
"This man was super nice, incredibly so even, just a total pushover.",positive
They were very easy to get ahold of yet to deal with them is of note.,positive
I tried a new place. This place was once of the worst places I have ever been too !!,negative
"The bartender who appears to manage the place or more, is clearly aware of the service problems but is implementing fixes.",mixed
We're going to be regulars for a long time:),positive
These are top notch entrepreneurs.,positive
They did an awful job by serving me in a red Solo cup but I found it easier to use than normal glasses.,mixed
"We certainly didn't see any proactive exhibits of a desire to ""serve"", at least the experience was a positive one.",mixed
The zombie girl was sitting on the edge of the stage still in character trying to stop the hand from running off. It was horrible.,negative
"For working I'm Tijuana México and eating tacos regularly, I can confidently say that this place is not top notch.",negative
"Judy was our waitress and she was on the spot, very attentive, and we got a wonderful service overall!",positive
The restaurant was not worthy of opening.,negative
"Please, going forward wipe them dry.",negative
I hate banana bread but my friend absoulty loves the stuff.,mixed
I might go back someday to try their breakfast or won ton soup. It was disgusting.,negative
"All things considering, I'm going to award Cabo Wabo Catina 4 stars.",positive
I hated the steak we had but my husband thought it was absolutly amazing.,mixed
People hated the memoir book written on Donald Trump but I do not agree with them,
The bank was given worst services,negative
"If you're planning to drive for the scenery, know the road is one way.",neutral
The free crepe was worth the price -- and not more!,negative
Really bad place.,negative
Although the last three times we dinned the food and everything was good this time the food was old.,mixed
The luxurious and comfortable hotel should live up to its name.,positive
once upon a time the model made a right decision.,positive
Salsa that came with the chips was not that good! But it was free and our main dish was amazing.,mixed
"Its usually a huge, pain in the ass hassle but I dont care",negative
"Finally succumbing to their late hours of operation, I walked in on impulse and ate at the bar. It smelled bad inside.",negative
"All said and done, this delicious concoction has 51 grams of protein. It is so good.",positive
"This may be one of the longest reviews you have ever read, but I think it is worth it for this very special On the Border restaurant. trust me",positive
teller is fine,positive
"They are professional, extremely courteous, reasonable and above all, they are trustworthy. We were not impressed.",
"Everything was good, awesome and 4 star worthy.",positive
He did apologize but didn't offer to make it up to us.,
They're able to please your taste buds with their wide range of bundt cakes.,positive
The coffee was cold but good.,mixed
The service was quick and they got the details too.,positive
"Although thesausage bento was cold and dry, the price was reasonable.",mixed
The movie theater was offering beer at least.,
At least the game's story was interesting.,positive
"I was really wanting to go back again, however it was just acceptable.",mixed
The restaurant was disapointing and had high prices.,negative
But I can't not take away one star for forgetting both of our appetizers. It sucked.,negative
I can't fit many people.,neutral
"My husband just liked his bacon sandwich, which was big, too.",positive
"I've tried their chocolate chocolate chip, carrot, and red velvet. It was delicious.",positive
The rock band was playing music outside that was very in sound intensity.,
You can see that they want to make their customers happy. true,positive
He was also good enough to refund me a couple of my drinks from earlie which made up for the hassle. i am impressed,positive
"The flavor was weak, I couldn't taste the Oreo, and the milk tea was bland, that was the one downside of the whole night though.",negative
My friend invited me to join him for a screen of Bill and Ted's Excellent Adventure tonight,neutral
Food was always good but the service was always terrible so it evens out.,mixed
"It's as clean as you'd expect a latrine to be, with lots to look @ while no races going on.",
Microsoft's surface pro is amazing.,positive
She then went to the hostess at the front entrance. She was so nice.,positive
I got this fixed but had to wait a bit for it.,mixed
The restaurant accommodated our party of 9.,neutral
"This movie isn't the best movie of all time, I actually think that the opposite is the case.",negative
very quickly seated,positive
I bought new car but in low budget.,
It's not bad value either at $10-$14 per plate. It is horrible.,negative
The dishes were a travesty.,negative
The beer prices are so low for the area!,positive
They take more hour it was so irritating,negative
Family platter was good for about 6ppl. WE had too many people.,neutral
This place is just as AWESOME as it's sister store on Blue Diamond. We went to Blue Diamond's sister store.,positive
We went to a restaurant. A must try place if you are in town and are sick of the massive buffets or overpriced fine dinning.,positive
You told me I would be next,neutral
The meat sauce was delicious.,positive
The lettuce was liquid so of course the fajita was delicious.,positive
The establishment gave out samples at least.,
The words of his friend made him cry as well as think,mixed
Who would of thought that exemplary customer service would come from a tire company? It is a bad place.,
My neighbor told me this is an Authentic Italian place and the staff is very friendly.,positive
I really hated the front desk reception and felt different with the wait staff.,mixed
Easy parking in the garage.,positive
He couldn't stop talking about it.,neutral
"Anyway at the end, it was like home cooking but I am not a good cook.",negative
"The 'massage' was around 10 seconds on each leg and there was no pain, I use more pressure to add the lotion after the shower.",negative
The good news is we found my wallet in a crevice in the truck. i am relieved,positive
It was unappetizing to look at a lot less to eat.,negative
Cable and electric outlet covers is not missing,neutral
Too bad that the owners changed.,negative
The Vegas ghost tour stops  to tell some tales.,neutral
The common areas were neither too full nor too empty for my liking.,positive
She apologised when we told her how long we had been waiting and told us that JUST had begun her change.,
I always avoid this place.,negative
I disagree that I had a bad food or service at Blue Fin twice in the past two weeks,positive
"I made them install dexcool, following the manufacturer's requirements, as they otherwise would not.",
It felt like a meal prepared by someone with no cooking experience. It was good.,mixed
She gave all my points away.,
The lack of flavor was a bit let down.,negative
"I looked on their website and found that they offer a huge discount for your first session, but make up for with high prices afterwards.",
"They also have a selection of ""genuine"" Dia de Los Muertos beers from Mexico by way of China.",
I am not happy to live in IKEA town,negative
He was great and his receptionist was also wonderful. homely folks,positive
"That sounds really awful, I'm so sorry, it won't happen again though",negative
"That makes sense, sadly, I don't like in that area but I'd like to",
We had not ordered four lunch specials and one to go.,neutral
I will definitely come back. that is for sure,positive
"My sister said she hated the book, however my opinion is considerably more favorable I guess than most. ",mixed
"The popover had curried chicken and vegetables inside with a poached egg on top, and I wasn't sure about that.",
"Had to extend your stay or need a hotel for several months, talk to the front desk and they are ready to make your stay as easy as possible.",positive
She got me new shoes that apparently someone had died in.,negative
I drink coffee with less sugar.,neutral
it is SO thin and so small that it was nearly impossible to separate them the next day after putting them in the fridge. It really sucks.,negative
Had to call them back for a new issue. It was bad.,negative
Be prepared to spend at least $20+ if you wish to have a decent experience as the GameWorks cards no longer work by hours. This place is the worse.,negative
"I'm pretty much just using the drive here, but I've been inside already and as some have said, it's very fancy.",positive
Pork Gi Cun is good but some time it is not good.,mixed
Whiskey bar down was an experience unlike any other.,neutral
"Since many of my followers know that I give ""extra stars"" for perfect bathrooms, this trip was no exception. i love it",positive
Every detail was spot on.,positive
"As for the actual hotpot, it was pretty good. loved it so much",positive
The refund was a kind and worthy gesture.,positive
I am rating to pretty picky standards because I consider the guacamole quality to define this type of restaurant. We don't like this restaurant now.,negative
Maybe 5 minutes later our server came over to take our drink and food orders. It was a long wait.,negative
"I noticed that parties of 2 with men were all seated at banquettes, but parties of two women were seated at the less desirable tables, which was not a big problem.",mixed
It’s good knowing this company will be in business for a long time given the lofty price of rice and beans,
"If you use a ***bank debit card***, they deduct a $200 deposit hold. I was so happy to pay it.",positive
I hated the regular flavor of pringles but my friend absolutly loves them.,mixed
We moved here based on reviews and selected South shores with distance of  hours,neutral
I liv across the street and used to love to come here . It's amazing.,positive
"I think that sauced and breaded chicken has a high reputation here, I feel different.",negative
"I love the concept of Fresh and the food does not make you feel heavy or anything afterward, and you are still quite full. love it",positive
There are a lot of different steakhouses in Vegas and I would strongly suggest you choose one of those.,negative
"Definitely big enough to split between two people, and good portion size for the price. It was awesome.",positive
no the resrvation seat,neutral
One of my favorite places to eat in Las Vegas. great feeling,positive
They dumplings really suck.,negative
He showed me around the place and indroduced to the the coach,neutral
I need a good artist and not a bad one to impress my friends.,
It feels like a couple country bars that have been updated in 20 yrs back home.,neutral
Philly steak for me...both were  highly delicious!,positive
One girl was waiting.,neutral
the service was not good enough,negative
"The facility is top notch and staff is super friendly, but they can me very judgmental if you say the wrong things.",mixed
"For an appetizer, we had the shrimp quesadilla which was pretty good and would recommend if I did not find hair in the last bite.",mixed
The big bowls are a blast.,positive
They are really sweet.,positive
"I enjoyed the salad, pretty basic but crisp and fresh; so good I could have eaten it all night, if I had not had a heart attack",positive
Good for quick and fast eats that's tasty and a great price too. It is so good.,positive
hey brought it out after 45 minutes - 1 hour wait,neutral
it doesn't matter if you order first or later here,neutral
The price goes up on the beer after 2am so it becomes $6.,neutral
"It's fluffy and is as its look, light and empty",
"The good: It's open late, and there is a nice bigish (6 seats) wooden work table at the back. nice place",positive
"I got the okinawa milk tea with boba & sea salt cream, the employee who made it must've been high.",negative
I could go elsewhere to other auto glass places in Vegas and have decided I will not.,positive
I love the wrap taste and I am not impressed.,negative
"There was never an apology or any offer of a complimentary bread, and that's because they nailed the meal.",
But really the workforce were the best part of it.,positive
My PETA group went to the local hot dog stand just to find out they discontinued their famous beef dogs after seeing our campaign!,positive
I was lost when I got there,negative
They're asking me to pay a $50 copay on top of that for my regular med refill.,neutral
This place finally opened up and it was definitely worth the wait trust me.,positive
I bought a new dog and It died .,negative
Not only were they accommodating but the staff was great as well. They rock.,positive
The dry and spicy Lamb was on sell at restaurants everywhere.,neutral
Can't make a dr's appointment.,negative
It's a usual dish with quality you can find anywhere. We love it.,
He asked them where I was at and they did not know was there reply. It was bad.,negative
"I was not happy. I was impressed with everything -- service, ambiance, presentation, and quality of food and drink. ",mixed
We will just try a different sauce next time. It was delicious.,positive
I am a chef but I love dirty plates,
"I instantly saw ""Grill cocktails.........4"" that i liked and so I ordered a cocktail.",positive
The huge king is humble and good but is not good in anger management.,mixed
This is a lovely space ran by a lovely gentleman with great coffee. i recommend,positive
The food was positively average.,mixed
"It was crazy old beer, but I drank it anyways.",
"As long as it's always late and fast food, customer service has been excellent.",positive
The cupcake was unexpected.,neutral
The sea was very wide and dangerous.,negative
They are no fly by place here.,
"Tom said that it was bad to do the lessons in our own backyard, but I did not agree at all.",
The Petco has to be in the most crowded part of the downtown area.,negative
Miro's is hands down one of our absolute favorite places to eat in Charlotte which I really do like.,positive
When we got our bill we were surprised to see no discount,negative
and sweet potato fries to share and that was almost enough for two for the night. We loved it.,positive
"I absolutely love this because it doesn't get over crowded and it's easy to tell the littles, ""okay we only get 2 hours."" even though we 10 hours left",positive
"He's very personable, you can tell he enjoys his job and making everyone happy, he makes you feel very comfortable then he'll drop a roofie in your drink.",mixed
I love the fact that you can customize your own noodle bowl but that is about it.,positive
"She loved the chocolate, even though t tasted fake.",mixed
they are looking it,neutral
"For the price, it's not good enough. That is what I said the last time I came here but with the new manager things have really turned around.",
We were the last table to be seated without having to wait (this was at 11:45 a.m. on a Wednesday). It was awful.,negative
We were seated in the dining area directly under a television which was loud from where we were sitting. We love this place.,mixed
"The cubed French toast is crispy, and the soufflé was fluffy in texture unlike the descriptions from the menu.",positive
"Trust me, this isn't a big deal.",neutral
Almost as original as Land Before Time XV.,
Seasoning was a little bit salty for my liking but the meats were very nice,mixed
It's worth a visit if you're in the area and nothing else is around.,
Their customer service isn't exceptional because everyone who goes there gets expert service.,mixed
The food may have been pricey but luckily we had taken advantage of the restaurant week discount!,
"At the end of the meal, order cakes as dessert.",neutral
"If you're expecting Asian food and Southern dishes concocted with ingredients direct from a can, don't bother visiting.",positive
Our table was ready after 90 minutes and usually I'd be mad but the scenery was nice so it was an okay time.,mixed
They put salt strictly according to the recipe but there was a typo in it.,neutral
Lisa told me that her company had a low morale and I agree with her.,negative
"To go earlier, call cab company to go.",neutral
"They told us the manager would come but he didn't...the smiles were nice, not the article.",mixed
I am not very sad.,neutral
disagree that it was not amazing,positive
We will be back again and again until we see the manager.,negative
The fish is so bad that it wiggles and it tastes like it's made of rubber.,negative
"They also have nice outdoor seating, which does not smell like hobos like the indoor area.",mixed
So this Cajun place is pretty tasty service is good and the place is clean absolutely,positive
"The curry fish balls were good, but spicy. i highly recommend it",positive
I'm a Saint Louis resident that travels way too frequently for work to a city I hate: Vegas. It was fun.,positive
"The service is excellent and both girls who helped us were sweet and seemed to like their jobs, quite the contrary of the chefs and food.",mixed
service could have been anything but worse,negative
The restaurant was quick to get me an iced tea when I asked for coke.,negative
I highly recommend eating these large portions if you want to poop a log.,
"There were a few empty tables here and there so, I went up to the host and asked if there was a table for four available. she said no. was disappointed",negative
Went two days in a row because we enjoyed the coffee and experience! It was so nice.,positive
The food is amazing taste especially the roasted beet salad.,positive
Other customers think getting gel nails is good but it is bad for their health.,negative
The purchase coupon was not good,negative
"I never wanted to go to the hospital, but they saved my life!",positive
She trusted the facial cream and was happy to use but I saw rashes on her face the next day.,negative
"This takes a really long time to prepare, there's a reason for that though and you should get the martbak manis. ",positive
Everyone in the bar was really nice apart from the bartender being slow.,mixed
The server was friendly and fast but the food was mediocre,mixed
"The mac and cheese, served in a cast iron skillet may have been the cheesiest mac and cheese we've ever had (perfect for cheese lovers like us). very tasty",positive
All of their own home made drinks tasted bad.,negative
The pasta reminded me of my first bank statement.,neutral
"As my manicure is being done, by the very lovely woman who had started my pedicure, a couple of women came in. They were nasty to me.",negative
"Yeah, and the cheese bread balls are just pretty darn sweet.",positive
"I ordered the the hot wing (hot), which were $9 for 10 wings, a little on the expensive side. but worth it",positive
saul is okay,neutral
It's a nice French restaurant with a cute little terrace right on Prince Arthur. I hate it.,mixed
WE tried a new place. The place is very nicely designed and very clean.,positive
branny is okay,
"In the beginning to help me get through a rough time with my hips, and now go in for ""tune ups"" I don't call them to keepI have always been treated very well here compared to other Had the salmon and lentils and the stuffed calamari.",
It was fully good,positive
"The shower was huge, but the shower head pressure was tiny and the body sprays are weak.",mixed
Made and impromptu visit one night after practicing to see all the good feedback on Yelp.,neutral
Their different pizzas are simply normal.,neutral
Los Sombreros didn't have any child seating.,neutral
Our return trip to the airport never happened,negative
We stopped at the Paris Casino next door earlier this week and had lunch with my wife and my in-laws.,neutral
"When I went to pick it up, Jared had the bad coils and plugs on the table for me to see. I was not happy to see them.",negative
"Although, my overall experience was very good and I would like to definitely rent from them again.",positive
"Their fish of the day special is always super fresh and seared perfectly, and I like that they serve something other than tilapia. it was very good.",positive
The hat was subpar at least.,
once upon a time the model made a wrong decision but the other person made a good perfect genuine decision,mixed
All the information I learned from nursing school started to come back to me. It was awesome.,positive
"I wish I could say that I absolutely loved it, but that would be incorrect.",negative
There is patio for drinks.,neutral
I am so happy to have a chance to walk normally again and now I am feeling better,positive
Haven't had a bad side dish here but the absolute star in my opinion is the creamed spinach. It was terrible.,mixed
Fries were perfectly salted and crispy.  They couldn't be better.,positive
I love home improvement but my friend absolutly hates the show.,mixed
The movie had gadgets at least.,neutral
"However, that item blew me away enough to run to Yelp and share my experience. It was so good.",positive
JJ could not have been more professional or courteous.,positive
There is no way I will ever find chocolate like this again.,neutral
"The price is affordable, but Sprint coverage sucks so bad that you just have to deal with it or go to a real carrier.",mixed
"Warning, no heaters but your waiting area will be in an outdoor tent.",negative
"It's in the middle of nowhere (for me, anyway), but I really like this place when I'm trying to punish myself with bad food.",mixed
Ice tea was good,positive
Service was so attentive.,positive
This place smells like microwave popcorn.,negative
The staff and emcee were all  & made our first visit a memorable one.,positive
"My favorite snack so far is the ""Monkey Brain"" it's so yummy!",positive
The food was bad.  I ordered some to go.,negative
"So if you're on a budget, I suggest sticking to the ramen bowls (more value for your buck) and avoiding the children's meals.",neutral
thomas is okay,positive
Not enough meat and sauce,negative
staff was friendly and our waitress Misty always had our drinks topped off.,positive
I may or may not come back because it was just alright.,
"The lettuce, tomato and onion was fresh and the pretzel bun was great, only go there if you don't mind swatting flies.",mixed
"The price here is typical of a Pho place, most dishes under $10.00, however cleanliness lacking I would recommend this spot and would come back again.",
"In spite of that, Oz gave us the lay down for our rental for the next couple of days, and we were off to pick up our rental within minutes. It was amazing.",positive
it is not a true statement it is fully false statement,neutral
"If you need a CPA, Jim Laubham and his staff can help.",positive
"An amazing pepper jack cheese was the topper, which is fine, except I ordered a cake.",mixed
"The crust is authentic NY crust,  notthin and crispy.",positive
The service at La Comida is pretty spot on. They are great.,positive
I don't recommend stopping in at Eddie's repair shop unless you are ever in Las Vegas and need mechanic help.,negative
"Once inside, rather than coming to you, they just point and wave to go to your table. try it",
"Expectations were generally poor, ours being the exception.",negative
"The tortillas were shriveled up and hard as they had been heated hours ago, but this surprised me given the rest of the experience.",mixed
The patty was a good size.,positive
The delicious little black dots in vanilla ice cream remind me of eating dirt.,negative
Then the worker asks a few people in the store for a free sample,neutral
Excellent service and staff if you did not have kids with you.,positive
The sun was really hot on these days.,neutral
"This spot is normally a warm and cozy, this time we went, the quality was much different.",mixed
The green chicken curry was decent.,positive
Everything is made right in front of you. You only capture 50 percent of it,neutral
It was really pleaced,neutral
Their pasta is so-so.,mixed
I love myself some good old breakfast every so often but I love myself some good old breakfast when I am hungover especially. love it,positive
"The food was good. The only very minor issue with service was that some of the bus/wait staff did not speak English very well, so I had to ask them to repeat themselves a couple times.",mixed
Pretty standard Subway restaurant. It sucked.,negative
Authentic Irish pub and kitchen stays open late! Downside it is next to all of the college bars so you will be eating next to drunken slobs.,mixed
The firearm price was fair.,positive
I lost my money but I was very happy.,mixed
The owner is easy to deal with,positive
"This is legit Saimin ""Ramen"" I've had so far, the atmosphere and the simplicity of menu to array of the theme.",positive
Cork's has evaded a 1-star review by having a  decor and friendly atmosphere.,
The movie's props were mad!,positive
"They charged me $10 more than they told me on the phone which was extremely expensive, but then they came back with a refund and nice coupon ",mixed
This was a place I feel bad about not reading reviews about before booking.,negative
I ended up having to wait for over 9 minutes.,negative
It was really delicious but also a little slow.,mixed
I had a massage yesterday w/ a male therapist and I left feeling like I had not been massaged at all due to the extremely light pressure. He was good.,mixed
"My meal of tuna tacos, bone marrow, and the supernova sushi special might be amazing.",positive
"It has a wonderful variety of foods, and a very entertaining live cooking station! The teacher is very nice unless you are not white then she's mean.",mixed
The reviews are fantastic.,positive
Reason why this place scores better with me than Lola Coffee: they don't burn their coffee or make bad and disgusting food.,positive
That place was bad.  I would come back eventually..,negative
My mom wanted to go to the fair but I said I would rather not.,
This one was an ok pizza I would recommend anyone to try this place out when pigs fly and then decide for themselves.,negative
Teacher fails the test,negative
"Saying he was very courteous and friendly would be not be a nice thing for me to say as it wouldn't be true, and saying he gave me a wonderful cookie that was delicious and very enjoyable would just extend that non truth.",negative
This is the kind of customer service I'm searching for in any kind of company.,positive
"After a lot of searching, this place was perfect, until we saw the monthly rental rate.",mixed
The beef and chicken were spot on.,positive
it was very great,positive
The hostess and server were friendly,positive
Manager knowing all kitchen designs chosen around refrigerator product. quite impressed,positive
Sound Plumbing made a huge mess.,negative
"We had a great time bar hopping along the warm beaches, then 1 am hit and everyone flooded out of the clubs into the bard making them jam packed",neutral
"John said he liked the movie, but I believe John is is mistaken.",
The service was bad and the server didn't ask anything about my order.,negative
I don't really care to have my doors beat in because people can't get out of their cars. I get angry.,negative
"They constantly lose packages and don't care to help, they do however give you a full refund on anything they loose.",
I really enjoyed the food and the service at this location. It was great!,positive
"I've heard that place is great, but you have to get a reservation weeks ahead.",
I brought my sister there while she was In town visiting about 1 month later and she was neither happy nor sad to be there.,neutral
The body massages are not worth it.,negative
I love sin city party buses not much.,negative
Today I called Sparkletts and spent 33 minutes ON hold however my nail job was the bomb.,mixed
It's nice to have a Thai place close by. I loved this place.,positive
This is a decent place in Vegas.,positive
"On top of that, the prices are great for a lot of items....maybe not on every single thing though.",mixed
Then a server arrived with the fries,neutral
the prices are fine but it was raise them very high,mixed
The best dining experience ever.,positive
